uid,uname,login,post,life,ycf,isBM,isManager,uscore
136,jj,4198,4881,398,0,0,0,4.7
137,chenchang,32,2,116,0,0,0,1.3
138,God,246,105,118,0,0,0,2.8
139,ceciliacx,222,11,487,0,0,0,2.2
140,pengjiamu,1258,128,195,0,0,0,2.8
141,lqyluck,592,5,4,0,0,0,2
142,Gaoqiaochu,339,2,93,0,0,0,1.8
143,ACMilan,2711,8997,207,0,1,0,5.1
144,zhiyuanlou,123,9,583,0,0,0,2.1
145,RuiniLan,6,0,90,0,0,0,0.1
146,WKYD,2758,5109,94,0,0,0,4.7
147,Anasting,2855,117,664,0,0,0,2.8
148,Hammy,33,0,8,0,0,0,1.2
149,happymio,1662,12,364,0,0,0,1.9
150,Star,1222,1,609,0,0,0,2
151,Anita,719,608,543,0,0,0,3.5
152,ladyw,206,50,346,0,0,0,2.5
153,cowww,1629,1006,417,0,0,0,3.8
154,binlorodevia,1697,48,384,0,0,0,2.5
155,aaaaa,2,0,25,0,0,0,0
156,wanglihao,10,0,102,0,0,0,0
157,Zhangqingda,69,0,29,0,0,0,0
158,qinghuangxp,210,2,497,0,0,0,2
159,kampf,87,0,158,0,0,0,2
160,hnldxwj,2289,84,364,0,0,0,2.5
161,wangbitao,525,1,342,0,0,0,1.6
162,mingjingyue,340,124,461,0,0,0,2.8
163,kouzh,4702,13295,999,0,1,0,8.4
164,abnerarcher,7,2,84,0,0,0,0.1
165,hyzhang,702,9,462,0,0,0,2.1
166,Manda,9,3,85,0,0,0,0.3
167,huanfeng,19,0,115,0,0,0,0.1
168,melissa,2,0,26,0,0,0,0
169,panwl,4102,249,580,0,0,0,3.1
170,xinwen,770,138,523,0,0,0,2.9
171,botong,664,46,221,0,0,0,2.5
172,thymus,1535,5,474,0,0,0,2
173,Daisyxxx,861,35,363,0,0,0,2.1
174,lilac,463,1980,999,0,0,0,7.1
175,lampre,2,0,5,0,0,0,0
176,zhangxin,1800,28,443,0,0,0,2.4
177,YolaLiu,3,1,4,0,0,0,0
178,bdzhangnan,98,23,579,0,0,0,2.3
179,holidaygl,1264,17,532,0,0,0,2.3
180,Seasault,5,0,30,0,0,0,0.4
181,qsd,979,33,364,0,0,0,2
182,MrSimon,3198,4,664,0,0,0,2
183,Socrates,3728,1439,627,0,0,0,3.9
184,Wychfield,6,0,102,0,0,0,0
185,shuyun,772,34,390,0,0,0,2.4
186,wildlife,25,3,49,0,0,0,0.5
187,Juta,241,0,119,0,0,0,1.1
188,Kyon,1590,32713,639,2,0,0,6
189,sdyfe,539,36,361,0,0,0,1.9
190,cnf,583,81,178,0,0,0,2.7
191,KITT,2914,2075,526,0,0,0,4.2
192,aranzhang,486,129,458,0,0,0,2.8
193,Mervinlei,51,0,97,0,0,0,0.3
194,alaala,6,6,100,0,0,0,0.2
195,machinebeats,203,4,364,0,0,0,0.1
196,junoyang,4,0,96,0,0,0,0
197,gracesuccess,65,10,117,0,0,0,0.7
198,annabelp,1670,2767,403,9,0,0,4.3
199,yangzhenren,623,165,360,0,0,0,2.9
200,brilliant,13,0,46,0,0,0,0.3
201,leomao,107,0,87,0,0,0,0.1
202,Jongh,133,38,100,0,0,0,1.5
203,ganen,88,21,119,0,0,0,0.4
204,Eddie,1720,67,364,0,0,0,2.4
205,quatre,2,0,17,0,0,0,0
206,jerrywong,16,9,97,0,0,0,0.2
207,sanmensanshi,169,0,115,0,0,0,0.5
208,dawndusk,241,0,108,0,0,0,1.7
209,blossomblue,2287,187,656,0,0,0,3
210,fxx,97,30,104,0,0,0,1
211,shenkj,290,2,112,0,0,0,1.5
212,IA,11122,10620,660,0,0,0,5.2
213,funnyprayer,4,0,44,0,0,0,0.1
214,curtain,568,33,118,0,0,0,2.3
215,hmzx,1390,104,453,0,0,0,2.8
216,psycheZ,966,95,116,0,0,0,1.8
217,Alinayao,21,0,112,0,0,0,0.1
218,zalex,247,6,119,0,0,0,1
219,aprilstory,11691,5897,200,2,1,0,4.8
220,Oilily,98,10,107,0,0,0,0.7
221,kzw,76,1,105,0,0,0,1
222,Borisqi,4,1,106,0,0,0,0
223,yaogogo,2293,107,404,0,0,0,2.8
224,Pato,1659,315,541,0,0,0,3.2
225,XuBing,3,0,22,0,0,0,0
226,qwertyuio,75,0,20,0,0,0,0.1
227,FlorenceZ,3,0,11,0,0,0,0
228,cm,232,6,108,0,0,0,1.1
